classType.docID | Title
tennis.5027 | Serena ends Sania Mirza's dream
tennis.5029 | What now for British tennis?
tennis.5030 | Hewitt overcomes wobble in Sydney
tennis.5031 | Moya fights back for Indian title
tennis.5032 | Rochus shocks Coria in Auckland
tennis.5033 | Johansson takes Adelaide victory
tennis.5034 | Hingis hints at playing comeback
tennis.5035 | Slovakia seal Hopman Cup success
tennis.5036 | Dementieva prevails in Hong Kong
tennis.5037 | Injury sidelines Philippoussis
tennis.5038 | Hewitt falls to Dent in Adelaide
tennis.5039 | Federer breezes into semi-finals
tennis.5040 | Davenport puts retirement on hold
tennis.5042 | Navratilova hits out at critics
tennis.5043 | Prodigy Monfils blows away Gaudio
tennis.5045 | Henin-Hardenne beaten on comeback
tennis.5046 | Moya clinches Cup for Spain
tennis.5047 | Capriati to miss Melbourne
tennis.5048 | Classy Henman makes winning start
tennis.5049 | Moya emotional after Davis Cup win
tennis.5050 | Moya emotional at Davis Cup win
tennis.5051 | Capriati out of Australian Open
tennis.5052 | Bryan twins keep US hopes alive
tennis.5053 | Faultless Federer has no equal
tennis.5054 | Mauresmo opens with victory in LA
tennis.5055 | Agassi fear for Melbourne
tennis.5056 | Henman to face Saulnier test
tennis.5057 | Moya suffers shock loss
tennis.5058 | Clijsters hope on Aussie Open
tennis.5059 | Clijsters could play Aussie Open
tennis.5060 | Edgy Agassi struggles past Dent
tennis.5061 | Roddick splits from coach Gilbert
tennis.5063 | Hewitt survives Nalbandian epic
tennis.5064 | Sydney return for Henin-Hardenne
tennis.5066 | Hewitt fights back to reach final
tennis.5067 | Officials respond in court row
tennis.5068 | Williams battles to Aussie title
tennis.5069 | Safin cool on Wimbledon
tennis.5070 | Safin plays down Wimbledon hopes
tennis.5072 | Henman & Murray claim LTA awards
tennis.5073 | Connors' rallying cry for British tennis
tennis.5074 | Roche 'turns down Federer offer'
tennis.5075 | Federer joins all-time greats
tennis.5076 | Philippoussis doubt over Open bid
tennis.5077 | Slovakia reach Hopman Cup final
tennis.5078 | Dent continues Adelaide progress
tennis.5079 | Moya sidesteps Davis Cup in 2005
tennis.5080 | Henman decides to quit Davis Cup
tennis.5081 | Ivanovic seals Canberra victory
tennis.5083 | Safin relieved at Aussie recovery
tennis.5084 | Veteran Martinez wins Thai title
tennis.5085 | Soderling wins tense Milan final
tennis.5086 | Rusedski forced out in Marseille
tennis.5087 | Big guns ease through in San Jose
tennis.5088 | Almagro continues Spanish surge
tennis.5089 | Melzer shocks Agassi in San Jose
tennis.5090 | Mirza makes Indian tennis history
tennis.5091 | Roddick to face Saulnier in final
tennis.5093 | Clijsters sets up Venus match-up
tennis.5094 | Injured Roddick quits in Memphis
tennis.5095 | Henman hopes ended in Dubai rain
tennis.5096 | Agassi into second round in Dubai
tennis.5097 | Mauresmo fights back to win title
tennis.5098 | Federer wins title in Rotterdam
tennis.5099 | GB players warned over security
tennis.5100 | Sharapova overcomes tough Molik
